2020_census_tract,vehicle_count,electric_range,base_msrp,model_year,percent_bev,high_adoption
1001020100.0,2,19.5,0.0,2022.0,0.5,0
1001020804.0,1,25.0,0.0,2022.0,0.0,0
1045020000.0,1,0.0,0.0,2023.0,1.0,0
1081041901.0,1,220.0,0.0,2019.0,1.0,0
1117030613.0,1,259.0,0.0,2020.0,1.0,0
1121010302.0,1,21.0,0.0,2024.0,0.0,0
2020000206.0,1,0.0,0.0,2021.0,1.0,0
2020002100.0,1,14.0,0.0,2016.0,0.0,0
4003001402.0,1,0.0,0.0,2024.0,1.0,0
4013030402.0,1,0.0,0.0,2021.0,1.0,0
4013061035.0,1,0.0,0.0,2024.0,1.0,0
4013103219.0,1,249.0,0.0,2018.0,1.0,0
4013107201.0,1,0.0,0.0,2023.0,1.0,0
4013108501.0,1,0.0,0.0,2021.0,1.0,0
4013116619.0,1,0.0,0.0,2024.0,1.0,0
4013216845.0,1,0.0,0.0,2023.0,1.0,0
4013216901.0,1,9.0,0.0,2018.0,0.0,0
4013217700.0,1,72.0,0.0,2016.0,0.0,0
4013318700.0,1,32.0,0.0,2022.0,0.0,0
4013610201.0,1,75.0,0.0,2013.0,1.0,0
4019004712.0,1,0.0,0.0,2023.0,1.0,0
4019004729.0,1,0.0,0.0,2022.0,1.0,0
4021000323.0,1,32.0,0.0,2020.0,0.0,0
4021001712.0,1,0.0,0.0,2023.0,1.0,0
4023966109.0,1,0.0,0.0,2022.0,1.0,0
5007020703.0,1,0.0,0.0,2022.0,1.0,0
6001421400.0,1,0.0,0.0,2021.0,1.0,0
6001426200.0,1,0.0,0.0,2024.0,1.0,0
6001427600.0,1,21.0,0.0,2023.0,0.0,0
6001428200.0,2,0.0,0.0,2022.0,1.0,0
6001428700.0,1,0.0,0.0,2023.0,1.0,0
6001442502.0,1,0.0,0.0,2022.0,1.0,0
6001444304.0,1,0.0,0.0,2023.0,1.0,0
6001450200.0,1,0.0,0.0,2023.0,1.0,0
6001450752.0,1,0.0,0.0,2022.0,1.0,0
6013318000.0,1,0.0,0.0,2023.0,1.0,0
6013339003.0,1,33.0,0.0,2023.0,0.0,0
6013349000.0,1,0.0,0.0,2022.0,1.0,0
6013350000.0,1,0.0,0.0,2021.0,1.0,0
6013355202.0,1,0.0,0.0,2023.0,1.0,0
6019003812.0,1,25.0,0.0,2021.0,0.0,0
6019004211.0,1,210.0,0.0,2017.0,1.0,0
6029005512.0,1,0.0,0.0,2021.0,1.0,0
6029005700.0,1,100.0,0.0,2017.0,1.0,0
6031000500.0,1,0.0,0.0,2023.0,1.0,0
6031000603.0,2,18.5,0.0,2024.5,0.5,0
6031001100.0,1,0.0,0.0,2023.0,1.0,0
6037143700.0,1,0.0,0.0,2023.0,1.0,0
6037189201.0,2,0.0,0.0,2023.0,1.0,0
6037262601.0,1,0.0,0.0,2021.0,1.0,0
6037267800.0,2,155.0,0.0,2020.0,0.5,0
6037275604.0,1,215.0,0.0,2018.0,1.0,0
6037430902.0,1,0.0,0.0,2023.0,1.0,0
6037431400.0,1,220.0,0.0,2019.0,1.0,0
6037433307.0,1,0.0,0.0,2023.0,1.0,0
6037603706.0,1,19.0,0.0,2016.0,0.0,0
6037650101.0,1,0.0,0.0,2022.0,1.0,0
6037670003.0,1,29.0,0.0,2019.0,0.0,0
6037702801.0,1,42.0,0.0,2022.0,0.0,0
6037800104.0,1,84.0,0.0,2016.0,1.0,0
6037800206.0,1,14.0,0.0,2017.0,0.0,0
6037910301.0,1,0.0,0.0,2021.0,1.0,0
6041104102.0,1,14.0,44100.0,2017.0,0.0,0
6041111002.0,1,26.0,0.0,2022.0,0.0,0
6041126100.0,1,0.0,0.0,2023.0,1.0,0
6053012000.0,1,25.0,0.0,2022.0,0.0,0
6053014104.0,1,30.0,0.0,2023.0,0.0,0
6053014108.0,3,15.333333333333334,0.0,2021.0,0.3333333333333333,0
6053014109.0,1,208.0,69900.0,2014.0,1.0,0
6059001704.0,1,218.0,0.0,2021.0,1.0,0
6059032043.0,1,0.0,0.0,2023.0,1.0,0
6059032059.0,1,0.0,0.0,2023.0,1.0,0
6059042320.0,1,0.0,0.0,2022.0,1.0,0
6059042335.0,1,200.0,0.0,2016.0,1.0,0
6059052422.0,1,291.0,0.0,2020.0,1.0,0
6059052435.0,1,0.0,0.0,2022.0,1.0,0
6059062640.0,1,30.0,0.0,2023.0,0.0,0
6059075518.0,1,25.0,0.0,2021.0,0.0,0
6059086801.0,1,19.0,0.0,2016.0,0.0,0
6059099308.0,1,208.0,0.0,2015.0,1.0,0
6061020717.0,1,220.0,0.0,2019.0,1.0,0
6061021038.0,1,0.0,0.0,2022.0,1.0,0
6061021044.0,1,337.0,0.0,2020.0,1.0,0
6065040901.0,1,0.0,0.0,2023.0,1.0,0
6065042008.0,1,289.0,0.0,2019.0,1.0,0
6065042409.0,1,0.0,0.0,2021.0,1.0,0
6065042726.0,1,0.0,0.0,2022.0,1.0,0
6065042730.0,1,21.0,0.0,2022.0,0.0,0
6065042737.0,1,42.0,0.0,2023.0,0.0,0
6065043211.0,1,0.0,0.0,2024.0,1.0,0
6065043271.0,1,215.0,0.0,2018.0,1.0,0
6065043297.0,1,42.0,0.0,2021.0,0.0,0
6065046103.0,1,0.0,0.0,2023.0,1.0,0
6065941001.0,1,0.0,0.0,2021.0,1.0,0
6065941400.0,1,0.0,0.0,2024.0,1.0,0
6067007011.0,1,0.0,0.0,2022.0,1.0,0
6067008509.0,1,0.0,0.0,2022.0,1.0,0
6071002207.0,1,0.0,0.0,2024.0,1.0,0
6071009502.0,1,32.0,0.0,2024.0,0.0,0
6071011601.0,1,0.0,0.0,2024.0,1.0,0
6071025000.0,2,0.0,0.0,2022.0,1.0,0
6073000201.0,1,21.0,0.0,2023.0,0.0,0
6073000301.0,2,107.5,0.0,2021.0,1.0,0
6073004400.0,1,210.0,0.0,2017.0,1.0,0
6073006600.0,1,39.0,0.0,2024.0,0.0,0
6073006802.0,1,0.0,0.0,2024.0,1.0,0
6073007002.0,1,22.0,0.0,2021.0,0.0,0
6073007100.0,1,0.0,0.0,2021.0,1.0,0
6073007602.0,2,12.5,0.0,2021.5,0.5,0
