2020_census_tract,growth_likelihood,vehicle_count,electric_range,base_msrp,model_year,percent_bev
53033032333.0,1.0,503,41.62226640159046,589.662027833002,2022.131212723658,0.9065606361829026
53053070209.0,1.0,224,31.665178571428573,743.9732142857143,2022.611607142857,0.8169642857142857
53053070208.0,1.0,659,29.23065250379363,414.94688922610015,2022.6631259484068,0.8452200303490136
53033022606.0,1.0,484,39.29132231404959,464.1528925619835,2022.1239669421489,0.8822314049586777
53033022605.0,1.0,423,33.973995271867615,107.80141843971631,2022.5248226950357,0.8865248226950354
53033022604.0,1.0,587,41.39182282793867,299.3952299829642,2022.3134582623509,0.8517887563884157
53033022102.0,1.0,504,43.882936507936506,271.5178571428572,2022.0833333333333,0.8630952380952381
53033022001.0,1.0,310,37.7,412.258064516129,2022.0064516129032,0.8129032258064516
53033021906.0,1.0,370,31.602702702702704,418.2432432432432,2022.2216216216216,0.8405405405405405
53033021905.0,1.0,298,39.58389261744966,682.0469798657718,2021.93288590604,0.8422818791946308
53033021803.0,1.0,397,40.59697732997481,219.64735516372795,2021.861460957179,0.8236775818639799
53061053802.0,1.0,261,41.71647509578544,122.41379310344828,2021.9808429118773,0.8467432950191571
53033020800.0,1.0,354,43.75423728813559,197.45762711864407,2021.864406779661,0.8163841807909604
53033020301.0,1.0,101,35.16831683168317,395.990099009901,2022.1782178217825,0.8316831683168316
53033020200.0,1.0,266,44.02255639097744,434.2105263157895,2021.6466165413533,0.7969924812030075
53061053102.0,1.0,117,43.495726495726494,657.2222222222222,2021.948717948718,0.8376068376068376
53061053101.0,1.0,111,45.5945945945946,539.6396396396397,2022.009009009009,0.8738738738738738
53033011500.0,1.0,213,44.19718309859155,475.5868544600939,2021.530516431925,0.784037558685446
53033011101.0,1.0,163,38.809815950920246,196.01226993865032,2021.78527607362,0.7914110429447853
53033010800.0,1.0,272,46.84558823529412,404.0257352941176,2021.683823529412,0.8088235294117647
